Index,water_solubility,nΔL,f_max
1/0,1.7756386336250352,183.24,0.2356
1/1,0.5287461392023315,562.7700000000001,0.188
1/2,0.010701166947172758,1503.7600000000002,0.2743
1/3,1.1021676647390977,299.55000000000007,0.2365
1/4,2.8843750314845438,185.72000000000003,0.1447
1/5,2.0158428286966683,218.7199999999999,0.1704
1/6,1.953220591486375,47.77999999999997,0.1867
1/7,0.14904378188678963,890.3299999999999,0.3223
1/8,0.24542313403643848,454.24,0.3888
1/9,4.700052475876923,0.0,0.1127
1/10,0.07162483528855992,406.03999999999996,0.4865
1/11,0.6409982990254165,69.86000000000001,0.2918
1/12,0.03381025093803396,163.60000000000002,0.4024
1/13,0.022447300714524384,280.32,0.4459
1/14,0.4359806818374197,141.44000000000005,0.236
1/15,0.06069339103049185,562.7499999999998,0.3116
1/16,0.04227241749365956,889.3800000000001,0.28
1/17,0.5112168360415287,300.0900000000001,0.0773
1/18,0.5100877702173127,301.73999999999995,0.129
1/19,0.11107937530616056,643.6800000000002,0.174
1/20,0.3066389163450414,461.03999999999996,0.0794
1/21,0.17825194371358888,353.69999999999993,0.3691
1/22,0.7086420713675877,131.84999999999997,0.1964
1/23,2.1070679069875218,0.0,0.0
1/24,0.0036871123739041813,502.5999999999999,0.2886
1/25,0.22029504825558263,315.30000000000007,0.1362
1/26,0.09730877751831922,439.72,0.2682
1/27,0.11005313722365863,475.60000000000014,0.1041
1/28,0.06061107059353088,275.41999999999996,0.3231
1/29,1.2087426192863149,87.15999999999997,0.1409
1/30,0.16960530523188813,308.64,0.1541
1/31,0.004028303950147277,729.6600000000001,0.1204
1/32,0.01631307039512077,489.50000000000017,0.2356
1/33,0.02000153904164774,465.3599999999999,0.2152
1/34,0.060604755923777905,275.5000000000001,0.323
1/35,2.0210339469438483,0.0,0.0
1/36,0.003325223391101212,807.75,0.2487
1/37,0.3504144079261935,158.6400000000001,0.1721
1/38,1.5382856999494507,21.159999999999968,0.0608
1/39,0.2840058946604943,111.66000000000008,0.1791
1/40,1.4375054638569176,0.0,0.1019
1/41,0.11153750629833407,232.11,0.1633
1/42,1.431695403652767,0.0,0.0979
1/43,0.5504930867071633,0.0,0.1578
1/44,0.006270089404940896,446.9100000000001,0.2309
1/45,0.46796057958841314,151.80000000000007,0.0733
1/46,0.5859975211050559,66.40000000000009,0.1313
1/47,1.3230142591672287,0.0,0.0922
1/48,0.000381094765757844,134.36,0.3176
1/49,1.5372929785215363,0.0,0.0
2/0,1.7756386336250352,183.24,0.2356
2/1,0.5287461392023315,562.7700000000001,0.188
2/2,0.010701166947172758,1503.7600000000002,0.2743
2/3,1.1021676647390977,299.55000000000007,0.2365
2/4,2.8843750314845438,185.72000000000003,0.1447
2/5,2.0158428286966683,218.7199999999999,0.1704
2/6,1.953220591486375,47.77999999999997,0.1867
2/7,0.14904378188678963,890.3299999999999,0.3223
2/8,0.24542313403643848,454.24,0.3888
2/9,0.07162483528855992,406.03999999999996,0.4865
2/10,0.6409982990254165,69.86000000000001,0.2918
2/11,0.8688434507660842,304.0499999999999,0.2185
2/12,0.24359296109266215,492.48,0.4218
2/13,1.7270941569562996,222.80000000000007,0.1603
2/14,5.578722076955584,0.0,0.1388
2/15,4.700052475876923,0.0,0.1127
2/16,0.022447300714524384,280.32,0.4459
2/17,0.4359806818374197,141.44000000000005,0.236
2/18,0.06069339103049185,562.7499999999998,0.3116
2/19,0.04227241749365956,889.3800000000001,0.28
2/20,0.11107937530616056,643.6800000000002,0.174
2/21,0.3066389163450414,461.03999999999996,0.0794
2/22,0.017612604186755764,293.3599999999999,0.4227
2/23,2.1372650747649753,145.66000000000008,0.0959
2/24,0.03381025093803396,163.60000000000002,0.4024
2/25,0.5112168360415287,300.0900000000001,0.0773
2/26,0.5100877702173127,301.73999999999995,0.129
2/27,0.17825194371358888,353.69999999999993,0.3691
2/28,0.015501201247244892,648.6500000000001,0.2661
2/29,0.02309478353368585,516.9200000000001,0.3093
2/30,0.7086420713675877,131.84999999999997,0.1964
2/31,0.0036871123739041813,502.5999999999999,0.2886
2/32,0.09730877751831922,439.72,0.2682
2/33,0.003325223391101212,807.75,0.2487
2/34,0.22126265376005505,327.57,0.1379
2/35,0.008503525527985688,743.64,0.1902
2/36,2.1070679069875218,0.0,0.0
2/37,0.22029504825558263,315.30000000000007,0.1362
